Packet,Protocol,Source,Destination,Size,Info,PayloadPreview
1,"UNKNOWN","-","-",60,"",""
2,"UDP","192.168.20.208","224.0.0.251",234,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
3,"UDP","fe80:0:0:0:c61:cc24:108f:3eff","ff02:0:0:0:0:0:0:fb",254,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
4,"UNKNOWN","-","-",64,"",""
5,"UDP","192.168.20.208","224.0.0.251",234,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
6,"UDP","fe80:0:0:0:c61:cc24:108f:3eff","ff02:0:0:0:0:0:0:fb",254,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
7,"UDP","192.168.20.206","142.250.67.170",71,"Port 49522 -> 443","loGYgvl)z3S"
8,"UDP","142.250.67.170","192.168.20.206",74,"Port 443 -> 49522","A2X)M]B4rzqu\"
9,"UNKNOWN","-","-",92,"",""
10,"UDP","fe80:0:0:0:6f4:1cff:fe04:10c9","ff02:0:0:0:0:0:0:1",233,"Port 5678 -> 5678","AIR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
11,"UDP","192.168.20.1","255.255.255.255",213,"Port 5678 -> 5678","AIR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
12,"UNKNOWN","-","-",60,"",""
13,"UNKNOWN","-","-",64,"",""
14,"UDP","192.168.20.208","224.0.0.251",234,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
15,"UDP","fe80:0:0:0:c61:cc24:108f:3eff","ff02:0:0:0:0:0:0:fb",254,"Port 5353 -> 5353","IRINFOSYSs MacBook Pro (2)_companion-link_tcplocal[rpBA=9E:7A:5C:88:21:14rpAD=4813fcb273cdrpFl=0x20000rpHN=e083489cddd5rpMac=0rpVr=715.2/@"
16,"TCP","192.168.20.206","151.101.129.91",105,"Port 32840 -> 443","""?_w%8qN*"
17,"TCP","192.168.20.206","151.101.129.91",90,"Port 32840 -> 443","j6#'vt<"
18,"TCP","192.168.20.206","151.101.129.91",66,"Port 32840 -> 443",""
19,"TCP","151.101.129.91","192.168.20.206",66,"Port 443 -> 32840",""
20,"TCP","151.101.129.91","192.168.20.206",66,"Port 443 -> 32840",""
21,"TCP","151.101.129.91","192.168.20.206",90,"Port 443 -> 32840","'UYPNP[="
22,"TCP","151.101.129.91","192.168.20.206",66,"Port 443 -> 32840",""
23,"TCP","192.168.20.206","151.101.129.91",54,"Port 32840 -> 443",""
24,"TCP","192.168.20.206","151.101.129.91",54,"Port 32840 -> 443",""
25,"TCP","151.101.129.91","192.168.20.206",66,"Port 443 -> 32840",""
26,"TCP","192.168.20.206","151.101.129.91",54,"Port 32840 -> 443",""
27,"UNKNOWN","-","-",60,"",""
28,"UNKNOWN","-","-",64,"",""
29,"UDP","192.168.20.208","239.255.255.250",213,"Port 63223 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Chromium/146.0.7680.179 Mac OS X"
