index,protocol,source,destination,size,info,payload
1,"UNKNOWN","-","-",64,"",""
2,"UDP","192.168.20.208","192.168.20.255",86,"Port 57621 -> 57621","SpotUdp0~,;H.BnjcJH"
3,"UNKNOWN","-","-",60,"",""
4,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
5,"UNKNOWN","-","-",64,"",""
6,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
7,"UDP","192.168.20.206","142.250.67.170",71,"Port 49522 -> 443","Eoj58kac]gQ"
8,"UDP","142.250.67.170","192.168.20.206",75,"Port 443 -> 49522","B2'O]WUfq5lHf"
9,"UNKNOWN","-","-",60,"",""
10,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
11,"UNKNOWN","-","-",64,"",""
12,"UNKNOWN","-","-",92,"",""
13,"UDP","fe80:0:0:0:6f4:1cff:fe04:10c9","ff02:0:0:0:0:0:0:1",233,"Port 5678 -> 5678","IR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
14,"UDP","192.168.20.1","255.255.255.255",213,"Port 5678 -> 5678","IR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
15,"UNKNOWN","-","-",60,"",""
16,"UNKNOWN","-","-",64,"",""
17,"UNKNOWN","-","-",60,"",""
18,"UDP","142.250.67.170","192.168.20.206",322,"Port 443 -> 49522","L2dD;R\+'[r\.A?-^GM!q-E!`#=3IG)r_|@Mpj<:|""gAO0a\BuTHR&hMxyP{`{j:d1gRrU0k`-G2[\K2K-`fWnN_QY)Ik{0@qx$S:n"
19,"UDP","192.168.20.206","142.250.67.170",75,"Port 49522 -> 443","`oGZ%,={*(QO$"
20,"UNKNOWN","-","-",64,"",""
21,"UNKNOWN","-","-",60,"",""
22,"UNKNOWN","-","-",64,"",""
23,"UNKNOWN","-","-",60,"",""
24,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
25,"UNKNOWN","-","-",64,"",""
26,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
27,"UDP","192.168.20.217","239.255.255.250",215,"Port 53858 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Google Chrome/149.0.7827.102 Linux"
28,"UNKNOWN","-","-",60,"",""
29,"UNKNOWN","-","-",42,"",""
30,"UNKNOWN","-","-",60,"",""
31,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
32,"UDP","192.168.20.217","239.255.255.250",215,"Port 53858 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Google Chrome/149.0.7827.102 Linux"
33,"UNKNOWN","-","-",64,"",""
34,"UDP","192.168.20.217","239.255.255.250",215,"Port 53858 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Google Chrome/149.0.7827.102 Linux"
35,"UNKNOWN","-","-",60,"",""
36,"UDP","192.168.20.217","239.255.255.250",215,"Port 53858 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Google Chrome/149.0.7827.102 Linux"
37,"TCP","192.178.211.84","192.168.20.206",139,"Port 443 -> 56978","D<G$JN,!i1{\s[0ZC`e4*d*.|OH"
38,"TCP","192.168.20.206","192.178.211.84",66,"Port 56978 -> 443",""
39,"UNKNOWN","-","-",64,"",""
40,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
41,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
42,"UNKNOWN","-","-",60,"",""
43,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
44,"UNKNOWN","-","-",64,"",""
45,"TCP","104.18.39.21","192.168.20.206",90,"Port 443 -> 33452","%czI0?~poK"
46,"TCP","192.168.20.206","104.18.39.21",94,"Port 33452 -> 443","(M#udXT.CX2"
47,"TCP","104.18.39.21","192.168.20.206",66,"Port 443 -> 33452",""
48,"UNKNOWN","-","-",60,"",""
49,"UNKNOWN","-","-",64,"",""
50,"TCP","192.178.211.84","192.168.20.206",122,"Port 443 -> 56978","3N|]E./YDF`QRQ*4t"
51,"TCP","192.178.211.84","192.168.20.206",66,"Port 443 -> 56978",""
52,"TCP","192.168.20.206","192.178.211.84",66,"Port 56978 -> 443",""
53,"TCP","192.168.20.206","192.178.211.84",66,"Port 56978 -> 443",""
54,"UNKNOWN","-","-",60,"",""
55,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
56,"UNKNOWN","-","-",64,"",""
57,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
58,"UDP","192.168.20.206","142.250.67.170",71,"Port 49522 -> 443","go@5"",qY1*|-Xk"
59,"UDP","142.250.67.170","192.168.20.206",75,"Port 443 -> 49522","S2#{`~EOOan"
60,"UNKNOWN","-","-",60,"",""
